,net_idx,mean_mi
6,6,0.23000483963467094
68,68,0.22560426333284617
61,61,0.2212516335730027
9,9,0.2191668426854076
81,81,0.20243142397882566
28,28,0.19767492214825727
33,33,0.18796551495734143
2,2,0.16471510211068618
51,51,0.15790848542827063
64,64,0.15786577922568587
41,41,0.15524499359735913
1,1,0.15442404421586978
44,44,0.15033917401080021
14,14,0.15017427228109223
40,40,0.14855568630009086
95,95,0.14426803096821028
24,24,0.14094254979971388
52,52,0.13961369412347163
20,20,0.13658242210525345
11,11,0.13074423579272632
83,83,0.12901548033810362
85,85,0.12753146860946957
97,97,0.12562003182770493
91,91,0.12345806973104559
53,53,0.12294633281006666
4,4,0.12223737992414971
82,82,0.12187748966526653
15,15,0.11931412501860328
27,27,0.11893367091268478
59,59,0.11784125270657902
48,48,0.11662402753962206
67,67,0.1128864186691493
46,46,0.11235413452712933
32,32,0.11116928410894701
18,18,0.11082644556488991
43,43,0.1107901754540147
36,36,0.11040993434396022
23,23,0.1100393596482599
8,8,0.10661324487309583
69,69,0.10503817474742398
71,71,0.10455078908513636
5,5,0.1018973779662514
96,96,0.10020731961433361
77,77,0.10004331766816342
19,19,0.09960742512499465
56,56,0.09948415552210899
75,75,0.09876068530276902
58,58,0.09862755273247943
13,13,0.09830980130191712
3,3,0.09752855068803236
57,57,0.09660836137046898
25,25,0.09585435173366816
16,16,0.09481709627264444
99,99,0.09430489773067535
74,74,0.09364571956185572
87,87,0.09063727778494973
70,70,0.08952419265737717
22,22,0.08939601540795483
98,98,0.08924739813996525
31,31,0.08836623862107956
66,66,0.08827418578508915
94,94,0.0863505185179444
80,80,0.08622085213669131
60,60,0.085952885742955
29,29,0.08578277677949993
30,30,0.0852190302112064
89,89,0.08489482740455126
50,50,0.08440167563288715
10,10,0.08406679580024047
72,72,0.08376284317858257
93,93,0.08358439516512868
45,45,0.08243831910717926
35,35,0.08085122315309523
34,34,0.08053779515234645
63,63,0.07803650101461068
84,84,0.07591667999183127
88,88,0.07471312645978259
0,0,0.0739141498656018
73,73,0.07378308989234043
12,12,0.07326337857871712
37,37,0.07295885018582454
54,54,0.07200274334802198
76,76,0.07058386823262144
78,78,0.06816641327208887
38,38,0.06599272326460423
42,42,0.06432203163610441
21,21,0.06296649823426013
17,17,0.06290134265495964
90,90,0.062321366545138625
86,86,0.061173543595105316
47,47,0.060651062060151494
55,55,0.06045048275509288
79,79,0.06018280801029992
39,39,0.06010553623492215
92,92,0.05791172726338235
65,65,0.0561430310144665
49,49,0.054945765579765035
7,7,0.05334535029378364
26,26,0.05145275994408969
62,62,0.03698272967104317
